#ncbi_taxid	cluster_id	cluster_size	best_described_by
9606	CL:21549	6	biotin metabolic process
9606	CL:21560	5	3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity, and 3-oxoacyl-[acyl-carrier-protein] synthase 2
9606	CL:21569	5	mixed, incl. MaoC like domain, and hnRNP-L, RNA recognition motif 3
9606	CL:21578	57	peroxisomal transport, and integral component of peroxisomal membrane
9606	CL:21579	50	peroxisomal transport
9606	CL:21580	28	peroxisomal matrix
9606	CL:21583	21	Peroxisomal lipid metabolism, and Acyl-CoA thioesterase, long chain
9606	CL:21586	16	peroxisomal matrix
9606	CL:21587	11	mixed, incl. Acyl-CoA thioesterase, long chain, and FMN-dependent dehydrogenase
9606	CL:21590	6	mixed, incl. Acyl-CoA thioesterase, and sarcosine oxidase activity
9606	CL:21608	5	mixed, incl. Lon protease homologue 2, peroxisomal, and Peroxisomal/glyoxysomal leader peptide-processing protease
9606	CL:21635	22	peroxisomal membrane transport, and regulation of peroxisome size
9606	CL:21636	16	protein import into peroxisome matrix, and regulation of peroxisome size
9606	CL:21639	10	protein import into peroxisome matrix
9606	CL:21641	5	Pex, N-terminal, and Peroxisome biogenesis factor 1
9606	CL:21668	5	ABC transporter transmembrane region 2, and Peroxin-3
9606	CL:21678	7	mixed, incl. glyoxylate catabolic process, and Proline racemase
9606	CL:21691	5	Hotdog acyl-CoA thioesterase (ACOT)-type domain, and BAAT/Acyl-CoA thioester hydrolase C-terminal
9606	CL:2170	6	mixed, incl. regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process, and dsRNA-gated channel SID-1
9606	CL:21700	131	mixed, incl. alpha-amino acid metabolic process, and polyamine metabolic process
9606	CL:21701	93	mixed, incl. alpha-amino acid biosynthetic process, and polyamine metabolic process
9606	CL:21702	48	one-carbon metabolic process, and Defects in cobalamin (B12) metabolism
9606	CL:21703	39	one-carbon metabolic process, and Defects in cobalamin (B12) metabolism
9606	CL:21704	29	one-carbon metabolic process, and Choline catabolism
9606	CL:21706	14	Metabolism of folate and pterines
9606	CL:21708	7	tetrahydrofolate interconversion
9606	CL:21724	5	Dihydrofolate reductase, and tetrahydrofolylpolyglutamate metabolic process
9606	CL:21734	14	S-adenosylmethionine metabolic process, and Choline catabolism
9606	CL:21736	5	Cysteine biosynthesis, and Adenosylhomocysteinase-like
9606	CL:21752	5	oxidoreductase activity, acting on the CH-NH group of donors, flavin as acceptor, and Glycine/Sarcosine N-methyltransferase
9606	CL:21763	7	Defects in cobalamin (B12) metabolism
9606	CL:21781	6	Sulfide oxidation to sulfate, and hydrogen sulfide biosynthetic process
9606	CL:21798	43	mixed, incl. polyamine metabolic process, and proline metabolic process
9606	CL:21799	28	mixed, incl. proline metabolic process, and Urea cycle
9606	CL:21800	21	proline metabolic process, and Urea cycle
9606	CL:21801	11	Urea cycle, and N-acyl-L-amino-acid amidohydrolase
9606	CL:21803	5	arginine biosynthetic process
9606	CL:21822	10	proline metabolic process
9606	CL:21824	5	pyrroline-5-carboxylate reductase activity, and Proline catabolism
9606	CL:21842	5	Serine biosynthesis, and L-serine ammonia-lyase activity
9606	CL:21855	11	Polyamine biosynthesis
9606	CL:21856	6	Spermidine biosynthesis, and Antizyme inhibitor 2
9606	CL:2186	716	mixed, incl. MAPK signaling pathway, and Autophagy - animal
9606	CL:21867	5	regulation of polyamine transmembrane transport
9606	CL:2187	617	mixed, incl. MAPK signaling pathway, and autophagy
9606	CL:2188	470	mixed, incl. Autophagy - animal, and MAPK signaling pathway
9606	CL:21886	38	mixed, incl. Glutathione synthesis and recycling, and Arginine biosynthesis
9606	CL:21887	25	mixed, incl. Glutathione synthesis and recycling, and glutamate biosynthetic process
9606	CL:21889	11	Glutathione synthesis and recycling, and Dipeptidase 2
9606	CL:2189	279	mixed, incl. mTOR signaling pathway, and Oncogenic MAPK signaling
9606	CL:21891	6	Glutathione biosynthesis, and Peptidase M17, leucine aminopeptidase
9606	CL:2190	196	mixed, incl. regulation of TOR signaling, and MAPK targets/ Nuclear events mediated by MAP kinases
9606	CL:2191	106	mixed, incl. regulation of TOR signaling, and Translocation of SLC2A4 (GLUT4) to the plasma membrane
9606	CL:21913	12	mixed, incl. glutamate biosynthetic process, and glycine decarboxylation via glycine cleavage system
9606	CL:21915	5	glutamate biosynthetic process
9606	CL:2192	66	regulation of TOR signaling, and RSK activation
9606	CL:2193	50	Energy dependent regulation of mTOR by LKB1-AMPK, and TOR signaling
9606	CL:21936	13	mixed, incl. Gamma-glutamyltranspeptidase, and nickel cation binding
9606	CL:21938	5	mixed, incl. nickel cation binding, and Cancer-associated gene protein 1
9606	CL:2194	43	Energy dependent regulation of mTOR by LKB1-AMPK, and TORC2 complex
9606	CL:2195	36	Energy dependent regulation of mTOR by LKB1-AMPK, and RSK activation
9606	CL:21952	5	mixed, incl. Teashirt  homologue 1, and Methylpurine-DNA glycosylase
9606	CL:2196	27	Energy dependent regulation of mTOR by LKB1-AMPK, and Proline-rich AKT1 substrate 1
9606	CL:21961	181	mixed, incl. Metabolism of nucleotides, and cAMP
9606	CL:21962	121	Metabolism of nucleotides, and Nicotinate and nicotinamide metabolism
9606	CL:21963	106	Metabolism of nucleotides, and Phosphoribosyltransferase-like
9606	CL:21964	95	Metabolism of nucleotides, and 3',5'-cyclic-AMP phosphodiesterase activity
9606	CL:21965	85	Metabolism of nucleotides
9606	CL:21966	64	Metabolism of nucleotides
9606	CL:21967	37	Metabolism of nucleotides
9606	CL:21968	28	purine-containing compound salvage, and Nucleoside phosphatase GDA1/CD39
9606	CL:21970	17	mixed, incl. Nucleoside phosphatase GDA1/CD39, and AMP deaminase
9606	CL:21974	5	Adenylosuccinate synthetase, and Ham1 family
9606	CL:2198	16	mTORC1-mediated signalling
9606	CL:21989	5	8-oxo-dGTP phosphohydrolase activity, and 5'-Nucleotidase/apyrase
9606	CL:2200	7	Gtr1/RagA G protein, and Ragulator complex
9606	CL:22010	7	purine nucleobase salvage, and Adenosine kinase
9606	CL:22025	6	'de novo' IMP biosynthetic process
9606	CL:22040	27	pyrimidine nucleoside salvage, and 5'-nucleotidase activity
9606	CL:22041	17	deoxyribonucleoside monophosphate metabolic process, and 5'-nucleotidase activity
9606	CL:22043	11	5'-nucleotidase activity, and Deoxynucleoside kinase
9606	CL:22045	6	5'-nucleotidase activity, and Deoxycytidylate deaminase
9606	CL:22065	5	deoxyribonucleoside monophosphate biosynthetic process
9606	CL:22074	10	pyrimidine nucleoside salvage
9606	CL:22075	5	Pyrimidine catabolism, and Orotate phosphoribosyltransferase
9606	CL:22084	5	UMP salvage
9606	CL:22094	19	Interconversion of nucleotide di- and triphosphates, and Nucleoside diphosphate kinase, active site
9606	CL:22096	12	Interconversion of nucleotide di- and triphosphates
9606	CL:22099	5	ribonucleoside-diphosphate reductase complex, and UMP-CMP kinase
9606	CL:22110	5	dGDP metabolic process, and HD domain
9606	CL:22135	7	cAMP catabolic process, and ITP metabolic process
9606	CL:22153	11	Ribose-phosphate pyrophosphokinase, and NUDIX hydrolase
9606	CL:22155	5	Ribose-phosphate pyrophosphokinase
9606	CL:22165	5	NUDIX hydrolase, and IDP catabolic process
9606	CL:22175	14	Nicotinate and nicotinamide metabolism
9606	CL:22176	8	Pyridine nucleotide biosynthesis
9606	CL:2218	6	mixed, incl. TFIIIC-class transcription factor complex binding, and GTP-binding protein Rheb
9606	CL:22192	5	NAD kinase, and NAD(+) synthetase
9606	CL:22203	60	mixed, incl. cGMP metabolic process, and protein kinase A binding
9606	CL:22205	30	protein kinase A binding, and negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning
9606	CL:22206	18	mixed, incl. activation of protein kinase A activity, and Defective ABCC8 can cause hypoglycemias and hyperglycemias
9606	CL:22209	13	activation of protein kinase A activity, and negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning
9606	CL:22212	5	ROBO receptors bind AKAP5
9606	CL:22225	5	cAMP-dependent protein kinase regulatory subunit, and negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning
9606	CL:22241	12	mixed, incl. A-kinase anchor protein 2 C-terminus, and protein kinase A regulatory subunit binding
9606	CL:22244	5	positive regulation of delayed rectifier potassium channel activity, and A-kinase anchor protein 12
9606	CL:22271	26	cGMP metabolic process, and guanylate cyclase regulator activity
9606	CL:22272	21	cGMP metabolic process, and cGMP-dependent kinase
9606	CL:22274	10	cGMP catabolic process, and Haem-NO-binding
9606	CL:22276	5	Haem-NO-binding, and cGMP-dependent kinase
9606	CL:22300	6	Natriuretic peptide, and natriuretic peptide receptor activity
9606	CL:22313	5	Guanylin, and Intestinal infectious diseases
9606	CL:22322	276	Oxidative phosphorylation, and Mitochondrial protein import
9606	CL:22323	263	Oxidative phosphorylation, and Mitochondrial protein import
9606	CL:22324	258	Oxidative phosphorylation, and Mitochondrial protein import
9606	CL:22325	158	Oxidative phosphorylation, and Complex I biogenesis
9606	CL:22327	153	Oxidative phosphorylation
9606	CL:22328	94	respirasome
9606	CL:22331	54	Complex I biogenesis
9606	CL:22332	43	mitochondrial respiratory chain complex I
9606	CL:22334	36	mitochondrial respiratory chain complex I
9606	CL:22335	30	mitochondrial respiratory chain complex I
9606	CL:22337	19	mitochondrial respiratory chain complex I
9606	CL:22338	12	mitochondrial respiratory chain complex I
9606	CL:22339	6	mixed, incl. Zinc-finger domain, and ETC complex I subunit conserved region
9606	CL:2235	6	AMP-activated protein kinase activity, and 5'-AMP-activated protein kinase subunit gamma-1
9606	CL:22350	6	mixed, incl. 4Fe-4S binding domain, and acyl carrier activity
9606	CL:22361	7	mitochondrial respiratory chain complex I
9606	CL:22380	6	Ubiquinone
9606	CL:22394	6	mixed, incl. MNLL subunit, and NADH-ubiquinone oxidoreductase 1 subunit C1
9606	CL:22408	5	Leber hereditary optic neuropathy
9606	CL:22417	11	Complex I biogenesis
9606	CL:22418	6	mixed, incl. Uncharacterised protein family (UPF0240), and Protein arginine methyltransferase NDUFAF7
9606	CL:22429	5	mixed, incl. ECSIT, C-terminal domain, and Complex I intermediate-associated protein 30 (CIA30)
9606	CL:22446	33	cytochrome complex, and Cytochrome c oxidase subunit VII
9606	CL:22447	28	cytochrome complex, and Cytochrome c oxidase subunit VII
9606	CL:22448	23	cytochrome complex, and Cytochrome c oxidase subunit VII
9606	CL:22452	10	respiratory chain complex IV
9606	CL:22456	5	mitochondrial electron transport, cytochrome c to oxygen
9606	CL:22476	6	mitochondrial respiratory chain complex III
9606	CL:22493	5	mixed, incl. Cytochrome c oxidase subunit IV, and Cytochrome C oxidase chain VIIB
9606	CL:2250	5	RSK activation
9606	CL:22502	5	Leber hereditary optic neuropathy
9606	CL:22515	59	proton-transporting two-sector ATPase complex, and potassium:proton exchanging ATPase activity
9606	CL:22516	53	proton-transporting two-sector ATPase complex
9606	CL:22517	27	proton-transporting V-type ATPase complex
9606	CL:22522	19	Insulin receptor recycling
9606	CL:22524	12	Insulin receptor recycling
9606	CL:22526	6	proton-transporting V-type ATPase, V1 domain, and ATP synthase subunit D 
9606	CL:22571	24	proton-transporting ATP synthase complex
9606	CL:22573	17	Formation of ATP by chemiosmotic coupling
9606	CL:22576	12	mitochondrial ATP synthesis coupled proton transport
9606	CL:22578	5	mitochondrial ATP synthesis coupled proton transport
9606	CL:22588	6	mitochondrial ATP synthesis coupled proton transport
9606	CL:226	15	ERBB2 Regulates Cell Motility, and Tyrosine protein kinase, EGF/ERB/XmrK receptor
9606	CL:22609	5	Adenylate kinase, active site lid domain superfamily, and Adenylate kinase 7
9606	CL:22622	5	potassium:proton exchanging ATPase activity, and inorganic diphosphatase activity
9606	CL:22640	100	Mitochondrial protein import, and integral component of mitochondrial inner membrane
9606	CL:22641	83	Mitochondrial protein import, and respiratory chain complex IV assembly
9606	CL:22642	57	Mitochondrial protein import, and MICOS complex
9606	CL:22643	42	Mitochondrial protein import, and Porin
9606	CL:22644	32	protein import into mitochondrial matrix, and Tim10-like
9606	CL:22646	27	protein import into mitochondrial matrix, and Tim10-like
9606	CL:22647	18	TIM23 mitochondrial import inner membrane translocase complex, and Tim10-like
9606	CL:22649	10	TIM23 mitochondrial import inner membrane translocase complex, and Tim44-like
9606	CL:22651	5	PAM complex, Tim23 associated import motor, and Tim44-like
9606	CL:2267	5	TORC2 complex
9606	CL:22672	5	Tim10-like
9606	CL:22684	5	mitochondrial outer membrane translocase complex
9606	CL:22709	6	Porin, eukaryotic type, and induction by symbiont of host defense response
9606	CL:22728	11	MICOS complex, and Mitochondrial outer membrane transport complex Sam37/metaxin, N-terminal domain
9606	CL:22731	6	MICOS complex, and SAM complex
9606	CL:22755	26	respiratory chain complex IV assembly, and Cytochrome c oxidase biogenesis protein Cmc1 like
9606	CL:22757	21	respiratory chain complex IV assembly, and YebC-like
9606	CL:22758	15	respiratory chain complex IV assembly
9606	CL:22761	5	Cysteine alpha-hairpin motif superfamily, and Mitochondrial intermembrane space import and assembly protein 40
9606	CL:22775	5	heme a biosynthetic process, and SURF1 family
9606	CL:22788	5	mixed, incl. YebC-like, and Cytochrome oxidase c assembly
9606	CL:2279	7	Domain of unknown function (DUF3371), and Tripartite DENN domain, FNIP1/2-type
9606	CL:228	10	ERBB2 Activates PTK6 Signaling
9606	CL:22806	17	mitochondrial calcium ion transmembrane transport
9606	CL:22809	7	uniplex complex, and Mitochondrial calcium uniporter regulator 1
9606	CL:22827	6	Processing of SMDT1
9606	CL:22839	5	proton-transporting ATP synthase complex assembly
9606	CL:22848	13	APOBEC-like, N-terminal, and ACF, RNA recognition motif 3
9606	CL:22853	5	Formation of the Editosome
9606	CL:22873	217	mixed, incl. transition metal ion homeostasis, and cellular oxidant detoxification
9606	CL:22874	179	mixed, incl. transition metal ion homeostasis, and Redox-active center
9606	CL:22875	105	mixed, incl. zinc ion transport, and Detoxification of Reactive Oxygen Species
9606	CL:22877	57	mixed, incl. Redox-active center, and Selenocysteine
9606	CL:22878	52	Redox-active center, and Selenocysteine
9606	CL:22879	28	Peroxidase, and protein disulfide oxidoreductase activity
9606	CL:22882	17	mixed, incl. Antioxidant, and glutathione disulfide oxidoreductase activity
9606	CL:22885	10	mixed, incl. thioredoxin peroxidase activity, and glutathione disulfide oxidoreductase activity
9606	CL:22888	5	superoxide dismutase activity, and Catalase
9606	CL:2292	16	negative regulation of TORC1 signaling, and Seh1-associated complex
9606	CL:22921	7	mixed, incl. ERO1-like superfamily, and Glutathione peroxidase Gpx7, putative
9606	CL:22934	24	Selenocysteine, and selenocysteine incorporation
9606	CL:22936	13	Selenocysteine
9606	CL:2294	10	Seh1-associated complex, and Sestrin
9606	CL:22940	5	Rdx family, and Selenoprotein SelK/SelG
9606	CL:22952	5	thioredoxin-disulfide reductase activity, and SelR domain
9606	CL:2296	5	GATOR1 complex, and Protein SZT2
9606	CL:22965	5	selenocysteinyl-tRNA(Sec) biosynthetic process, and selenocysteine insertion sequence binding
9606	CL:22981	5	protein repair, and ETS translocation variant 3
9606	CL:22993	46	zinc ion transport, and Response to metal ions
9606	CL:22995	39	zinc ion transport, and Cadmium
9606	CL:22999	22	Zinc transport
9606	CL:230	5	chemorepulsion involved in interneuron migration from the subpallium to the cortex, and ovarian cumulus expansion
9606	CL:23001	17	Zinc transport
9606	CL:23004	11	Zinc transport
9606	CL:23006	5	Zinc transport
9606	CL:23047	13	Cadmium, and Heavy-metal-associated domain
9606	CL:23049	6	Heavy-metal-associated domain, and copper ion import across plasma membrane
9606	CL:23062	5	Cadmium
9606	CL:23084	74	mixed, incl. iron-sulfur cluster assembly, and iron ion homeostasis
9606	CL:23085	41	mixed, incl. iron-sulfur cluster assembly, and Complex 1 protein (LYR family)
9606	CL:23086	31	iron-sulfur cluster assembly, and protein lipoylation
9606	CL:23088	26	iron-sulfur cluster assembly, and BolA protein
9606	CL:23090	15	Mitochondrial iron-sulfur cluster biogenesis, and BolA protein
9606	CL:23093	10	Mitochondrial iron-sulfur cluster biogenesis, and NFU1-like
9606	CL:23094	5	iron incorporation into metallo-sulfur cluster, and NifU-like N terminal domain
9606	CL:23103	5	FeS cluster biogenesis, and NFU1-like
9606	CL:23120	10	Cytosolic iron-sulfur cluster assembly
9606	CL:23123	5	CIA complex
9606	CL:23147	10	Complex 1 protein (LYR family), and mitochondrial respiratory chain complex II assembly
9606	CL:23148	5	Complex 1 LYR protein
9606	CL:23157	5	mitochondrial respiratory chain complex II assembly
9606	CL:23166	33	mixed, incl. Metabolism of porphyrins, and Iron transport
9606	CL:23168	15	Iron transport, and transferrin receptor activity
9606	CL:23170	10	HFE-transferrin receptor complex, and multicellular organismal iron ion homeostasis
9606	CL:23173	5	HFE-transferrin receptor complex
9606	CL:23202	15	Metabolism of porphyrins, and heme export
9606	CL:23205	7	Porphyrin biosynthesis
9606	CL:2323	40	mixed, incl. Activation of BAD and translocation to mitochondria, and Sir2 family
9606	CL:23231	38	mixed, incl. hemoglobin complex, and Basic leucine zipper domain, Maf-type
9606	CL:23233	18	hemoglobin complex, and Glycophorin A
9606	CL:23235	10	hemoglobin complex
9606	CL:23237	5	haptoglobin-hemoglobin complex, and Haemoglobin, beta-type
9606	CL:2324	25	mixed, incl. Activation of BAD and translocation to mitochondria, and Activation of AKT2
9606	CL:2325	16	14-3-3 domain, and Casein kinase 1 gamma C-terminal
9606	CL:23255	7	Glycophorin A, and Erythrocytes take up oxygen and release carbon dioxide
9606	CL:2327	10	14-3-3 domain, and Chibby family
9606	CL:23273	17	mixed, incl. Basic leucine zipper domain, Maf-type, and Villin-like protein
9606	CL:23275	11	Basic leucine zipper domain, Maf-type, and Phospholipid-transporting ATPase IC
9606	CL:23277	5	Basic leucine zipper domain, Maf-type
9606	CL:2330	5	14-3-3 domain
9606	CL:23307	398	Lipid metabolism, and Biological oxidations
9606	CL:23309	214	mixed, incl. Lipid biosynthesis, and Arachidonic acid metabolism
9606	CL:23310	137	mixed, incl. Lipid biosynthesis, and Glycerolipid metabolism
9606	CL:23311	75	mixed, incl. Glycerolipid metabolism, and Phospholipid biosynthesis
9606	CL:23313	45	Glycerolipid metabolism, and phosphatidylglycerol biosynthetic process
9606	CL:23314	24	CDP-diacylglycerol metabolic process, and 2-acylglycerol-3-phosphate O-acyltransferase activity
9606	CL:23316	13	CDP-diacylglycerol biosynthetic process, and 2-acylglycerol-3-phosphate O-acyltransferase activity
9606	CL:23318	6	CDP-diacylglycerol biosynthetic process
9606	CL:23345	5	phosphatidate cytidylyltransferase activity, and CDP-alcohol phosphatidyltransferase class-II family
9606	CL:23361	21	Triglyceride biosynthesis, and Glycerolipid metabolism
9606	CL:23364	12	2-acylglycerol O-acyltransferase activity, and triglyceride lipase activity
9606	CL:23365	6	Digestion of dietary lipid, and lipoprotein lipase activity
9606	CL:23377	5	diacylglycerol O-acyltransferase activity
9606	CL:23390	5	Lipin, N-terminal, and Nem1-Spo7 phosphatase complex
9606	CL:23407	27	mixed, incl. The fatty acid cycling model, and Perilipin
9606	CL:23409	18	mixed, incl. Perilipin, and positive regulation of triglyceride catabolic process
9606	CL:23412	7	mixed, incl. Perilipin, and negative regulation of sequestering of triglyceride
9606	CL:23432	5	mixed, incl. Fibroblast growth factor 21, and PR domain zinc finger protein 16
9606	CL:23447	7	The fatty acid cycling model, and ELMO domain-containing protein 2
9606	CL:23460	62	mixed, incl. sterol biosynthetic process, and Biosynthesis of unsaturated fatty acids
9606	CL:23461	48	Cholesterol biosynthesis, and Sterol metabolism
9606	CL:23463	36	Cholesterol biosynthesis, and Primary bile acid biosynthesis
9606	CL:23464	25	Cholesterol biosynthesis, and CCAAT-binding factor complex
9606	CL:23466	17	Cholesterol biosynthesis
9606	CL:23468	6	Steroid biosynthesis
9606	CL:23486	5	farnesyl diphosphate metabolic process, and Diphosphomevalonate decarboxylase
9606	CL:23502	6	CCAAT-binding factor complex, and isopentenyl diphosphate biosynthetic process, mevalonate pathway
9606	CL:23513	11	Primary bile acid biosynthesis, and Sterol O-acyltransferase, metazoa
9606	CL:23515	5	Sterol O-acyltransferase, metazoa, and Cholesterol biosynthesis via desmosterol
9606	CL:23525	5	oxysterol 7-alpha-hydroxylase activity, and Primary bile acid biosynthesis
9606	CL:23540	6	SREBP-SCAP-Insig complex, and Peptidase M50
9606	CL:23558	10	Linoleic acid (LA) metabolism, and Protein-tyrosine phosphatase-like, PTPLA
9606	CL:23559	5	fatty acid elongation
9606	CL:23568	5	Linoleic acid (LA) metabolism
9606	CL:2358	5	Glycogen synthase kinase 3, catalytic domain, and Serine/threonine-protein kinase RAC alpha/beta
9606	CL:23583	77	Arachidonic acid metabolism, and Ether lipid metabolism
9606	CL:23585	59	Ether lipid metabolism, and omega-hydroxylase P450 pathway
9606	CL:23587	39	Ether lipid metabolism, and Synthesis of PS
9606	CL:23588	30	Ether lipid metabolism, and Synthesis of PS
9606	CL:23589	16	phospholipase A2 activity, and Lysophospholipase patatin, conserved site
9606	CL:23591	7	lysophospholipase activity, and lysophospholipid transport
9606	CL:23608	6	1-alkyl-2-acetylglycerophosphocholine esterase activity, and activation of phospholipase A2 activity
9606	CL:23620	14	mixed, incl. Phosphonate and phosphinate metabolism, and 1-acylglycerophosphocholine O-acyltransferase activity
9606	CL:23621	7	Phosphonate and phosphinate metabolism, and 1-acylglycerophosphocholine O-acyltransferase activity
9606	CL:23635	5	Synthesis of PS, and Phospholipid methyltransferase
9606	CL:23650	5	Glycerophospholipid catabolism, and Ectonucleotide pyrophosphatase/phosphodiesterase family member 2
9606	CL:23667	18	Arachidonic acid metabolism
9606	CL:23671	13	omega-hydroxylase P450 pathway, and hepoxilin biosynthetic process
9606	CL:23673	8	hepoxilin biosynthetic process, and alpha-tocopherol omega-hydroxylase activity
9606	CL:23707	15	Prostaglandin metabolism, and Leukotriene biosynthesis
9606	CL:23710	7	Prostaglandin biosynthesis
9606	CL:23727	5	Leukotriene biosynthesis
9606	CL:2374	13	FOXO protein, transactivation domain, and Sir2 family
9606	CL:23741	181	Metabolism of xenobiotics by cytochrome P450, and cellular hormone metabolic process
9606	CL:23742	166	Metabolism of xenobiotics by cytochrome P450, and cellular hormone metabolic process
9606	CL:23743	129	mixed, incl. Metabolism of xenobiotics by cytochrome P450, and Metabolism of steroid hormones
9606	CL:23745	115	Metabolism of xenobiotics by cytochrome P450, and Metabolism of steroid hormones
9606	CL:23746	88	Metabolism of xenobiotics by cytochrome P450, and Phase I - Functionalization of compounds
9606	CL:23747	52	Retinol metabolism, and Flavin monooxygenase FMO
9606	CL:23748	47	Retinol metabolism, and Flavin monooxygenase FMO
9606	CL:23750	38	Retinol metabolism, and methylumbelliferyl-acetate deacetylase activity
9606	CL:23752	32	Retinol metabolism, and methylumbelliferyl-acetate deacetylase activity
9606	CL:23754	23	mixed, incl. flavonoid glucuronidation, and Cytochrome P450, E-class, CYP3A
9606	CL:23757	8	negative regulation of cellular glucuronidation
9606	CL:2376	6	Transactivation domain of FOXO protein family, and pyramidal neuron migration
9606	CL:23780	7	mixed, incl. Cytochrome P450, E-class, CYP3A, and retinoic acid 4-hydroxylase activity
9606	CL:23802	7	mixed, incl. 11-beta-hydroxysteroid dehydrogenase (NADP+) activity, and coumarin 7-hydroxylase activity
9606	CL:23831	5	FMO oxidises nucleophiles, and Cytochrome P450, E-class, group I, CYP2D-like
9606	CL:23841	5	Caffeine metabolism
9606	CL:23850	36	glutathione derivative biosynthetic process, and Tyrosine metabolism
9606	CL:23852	18	glutathione derivative biosynthetic process
9606	CL:23854	10	Glutathione S-transferase, Mu class, and methylarsonate reductase activity
9606	CL:23856	5	Glutathione S-transferase, Mu class
9606	CL:23878	5	Glutathione S-transferase, alpha class
9606	CL:23893	13	mixed, incl. alcohol dehydrogenase activity, zinc-dependent, and aldehyde dehydrogenase [NAD(P)+] activity
9606	CL:23895	5	alcohol dehydrogenase activity, zinc-dependent, and Cytochrome P450, E-class, group I, CYP2E-like
9606	CL:2390	5	Sir2 family, and Secretoglobin
9606	CL:23907	6	phenethylamine:oxygen oxidoreductase (deaminating) activity, and 3-chloroallyl aldehyde dehydrogenase activity
9606	CL:23921	27	Metabolism of steroid hormones, and phenanthrene 9,10-monooxygenase activity
9606	CL:23923	20	Metabolism of steroid hormones, and phenanthrene 9,10-monooxygenase activity
9606	CL:23925	12	Glucocorticoid biosynthesis, and 3-oxo-5-alpha-steroid 4-dehydrogenase
9606	CL:23926	7	androgen biosynthetic process
9606	CL:23939	5	mineralocorticoid biosynthetic process
9606	CL:23980	7	mixed, incl. formaldehyde catabolic process, and methylglyoxal metabolic process
9606	CL:24001	34	retinol metabolic process, and Retinol-binding
9606	CL:24003	28	retinol metabolic process, and Retinol-binding
9606	CL:24005	21	retinol metabolic process, and Retinol-binding
9606	CL:24008	13	retinol metabolic process
9606	CL:24010	5	Retinoid cycle disease events, and adaptation of rhodopsin mediated signaling
9606	CL:2402	90	mixed, incl. MAPK targets/ Nuclear events mediated by MAP kinases, and bZIP transcription factor
9606	CL:24022	6	mixed, incl. 9-cis-retinoic acid metabolic process, and Short-chain dehydrogenase/reductase 3
9606	CL:2403	62	mixed, incl. MAPK targets/ Nuclear events mediated by MAP kinases, and bZIP Maf transcription factor
9606	CL:24049	5	retinol transport, and diterpenoid catabolic process
9606	CL:2405	36	mixed, incl. MAPK targets/ Nuclear events mediated by MAP kinases, and Mitogen-activated protein (MAP) kinase phosphatase
9606	CL:2406	22	mixed, incl. MAP kinase phosphatase activity, and p38MAPK events
9606	CL:2407	14	Mitogen-activated protein (MAP) kinase phosphatase, and p38MAPK events
9606	CL:24074	13	mixed, incl. cytochrome-b5 reductase activity, acting on NAD(P)H, and MOSC domain
9606	CL:24077	6	nitrate metabolic process, and Cytochrome b5, heme-binding site
9606	CL:2410	5	Mitogen-activated protein (MAP) kinase phosphatase
9606	CL:24109	21	mixed, incl. coenzyme A biosynthetic process, and Rhodanase C-terminal
9606	CL:24111	11	Coenzyme A biosynthesis, and Rhodanase C-terminal
9606	CL:24114	5	Coenzyme A biosynthesis
9606	CL:24139	6	mixed, incl. Phospholipase B, and Dephospho-CoA kinase
9606	CL:24150	20	mixed, incl. Interconversion of 2-oxoglutarate and 2-hydroxyglutarate, and cAMP catabolic process
9606	CL:24152	11	mixed, incl. cAMP catabolic process, and Vexin domain
9606	CL:24154	5	mixed, incl. Vexin domain, and Iron-containing alcohol dehydrogenase
9606	CL:24164	5	mixed, incl. Domain of unknown function DUF4709, and Ethylene-responsive protein kinase Le-CTR1
9606	CL:24180	5	Interconversion of 2-oxoglutarate and 2-hydroxyglutarate, and myoblast fate determination
9606	CL:24189	15	mixed, incl. Class II aldolase/adducin N-terminal, and L-methionine salvage from methylthioadenosine
9606	CL:24191	8	Class II aldolase/adducin N-terminal, and L-methionine salvage from methylthioadenosine
9606	CL:24218	307	mixed, incl. active transmembrane transporter activity, and Ion channel transport
9606	CL:24219	294	mixed, incl. active transmembrane transporter activity, and Ion channel transport
9606	CL:2422	5	MAP kinase activated protein kinase, C-terminal, and positive regulation of interleukin-12 secretion
9606	CL:24220	280	mixed, incl. active transmembrane transporter activity, and Ion channel transport
9606	CL:24221	241	mixed, incl. secondary active transmembrane transporter activity, and ABC transporter
9606	CL:24222	212	mixed, incl. secondary active transmembrane transporter activity, and ABC transporter
9606	CL:24223	150	mixed, incl. organic anion transmembrane transporter activity, and Congenital hypothyroidism
9606	CL:24224	134	organic anion transmembrane transporter activity, and ABC transporter
9606	CL:24225	126	organic anion transmembrane transporter activity, and ABC transporter
9606	CL:24226	76	mixed, incl. ABC transporter, and sodium-independent organic anion transmembrane transporter activity
9606	CL:24227	62	mixed, incl. sodium-independent organic anion transmembrane transporter activity, and Bile secretion
9606	CL:24228	48	mixed, incl. sodium-independent organic anion transmembrane transporter activity, and xenobiotic transport
